organization_id,name,organization_type,target_lists,status,city,website,linkedin_url,source_kind,source_url,discovered_at,last_updated_at,notes
org-mount,Mount,startup,yc;startup;sf;hiring,Researching,San Francisco,https://mount.insure,,yc_directory,https://www.ycombinator.com/companies/mount,2026-04-09T15:18:46+00:00,2026-04-09T15:18:46+00:00,"batch=Spring 2026 | team_size=2 | tags=insurance,artificial-intelligence,aiops,ai,security | description=Mount is the Insurer for the Agent Economy. When AI systems autonomously sign contracts, manage finances, or talk to customers, every failure becomes the deployer's liability. Existing insurers don't want to cover this. They lack the data, the models, and the speed to assess deployed AI systems. We're solving this by building a risk evaluation and mitigation platform specifically for AI Agents. Mount's platform red-teams them, scores their operational risk, and issues ADR certifications (the SOC 2 for AI agents). Every evaluation generates proprietary risk data that feeds our underwriting engine, a data moat no competitor can replicate. The AI agent market is projected to grow from $7.6B to $183B by 2033. The EU AI Act and upcoming regulation require deployers to manage AI risk. Over 90% of businesses want coverage for AI risks, yet no insurer is built to price this new risk category. We are that company. Fabian studied CS at ETH Zürich with a focus on machine learning and has been building AI systems since. John founded an AI-first media company at 18 and scaled it to 400K in annual revenue. Together, they combine deep technical AI expertise with the operational intensity to build a full-stack insurance company from scratch."
org-doodle-labs,Doodle Labs,company,built_in;la;companies,Researching,Los Angeles,https://doodlelabs.com/?utm_source=BuiltIn&utm_medium=BuiltIn&utm_campaign=BuiltIn,,startup_directory,https://www.builtinla.com/company/doodle-labs,2026-04-09T15:18:49+00:00,2026-04-09T15:18:49+00:00,"team_size=50 Employees | tags=aerospace,hardware,internet of things,robotics,wearables,app development,automation | description=Doodle Labs designs and produces industrial-grade wireless networking solutions. The company focuses on mesh networking for robotic systems, providing high throughput, long-range Mesh Rider solutions for UAVs, UGVs, AMRs and other robotic applications. The company’s Helix Mesh Rider Radio was developed with sponsorship from DIU and is the Blue UAS program’s datalink of choice. Doodle Labs was named one of Fast..."
org-eden,Eden,startup,yc;startup;sf;hiring,Researching,San Francisco,https://www.edenrobotics.ai,,yc_directory,https://www.ycombinator.com/companies/edenrobotics,2026-04-09T16:46:42+00:00,2026-04-09T16:46:42+00:00,"batch=Spring 2026 | founded_year=2025 | team_size=4 | location=San Francisco | jobs_count=1 | tags=automation,robotics,artificial-intelligence,robotic-process-automation | description=We're building robots that just work and use them to deliver autonomous services at scale."
org-clara,Clara,startup,yc;startup;sf;hiring,Researching,San Francisco,http://askclara.com,,yc_directory,https://www.ycombinator.com/companies/clara-2,2026-04-09T16:46:42+00:00,2026-04-09T16:46:42+00:00,"batch=Spring 2026 | founded_year=2025 | team_size=9 | location=San Francisco | jobs_count=2 | tags=healthcare,telemedicine,telehealth,ai | description=Clara is an AI primary care and longevity practice from the team that founded and grew Circle Medical to $100M in revenue. Our mission at Clara is to add one billion years of healthspan to humanity. We do this with an AI with deep clinical knowledge, coupled with the ability to sift through medical data to detect trends and patterns that could be missed. Unlike Claude or ChatGPT, Clara can see your medical data and then act. Chat with Clara as you would a doctor and Clara can help with you make sense of symptoms, get medication refills, order and understand labs, and achieve health goals. Medical recommendations are preliminary until one of our human medical providers in the loop reviews and approves them."
org-vercel,Vercel,company,built_in;sf;companies,Researching,San Francisco,https://vercel.com/?utm_source=BuiltIn&utm_medium=BuiltIn&utm_campaign=BuiltIn,,startup_directory,https://www.builtinsf.com/company/vercel,2026-04-09T16:46:43+00:00,2026-04-09T16:46:43+00:00,"founded_year=2015 | location=3 Offices | jobs_count=9 | tags=artificial intelligence,cloud,software | description=From solo developers building their first app to the teams behind ChatGPT, Shopify, and PayPal, if it needs to be fast, reliable, and beautifully built, it runs on Vercel. Our platform powers millions of deployments a day. We started with a simple belief: the web should be fast for everyone, everywhere. That belief became Next.js. Then a platform. Then the..."
org-deepgram,Deepgram,company,built_in;sf;companies,Researching,San Francisco,https://deepgram.com/?utm_source=BuiltIn&utm_medium=BuiltIn&utm_campaign=BuiltIn,,startup_directory,https://www.builtinsf.com/company/deepgram,2026-04-09T16:46:43+00:00,2026-04-09T16:46:43+00:00,"founded_year=2015 | team_size=150 Employees | location=2 Offices | jobs_count=9 | tags=artificial intelligence,machine learning,natural language processing,software,conversational ai | description=Deepgram is the leading voice AI platform for developers building speech-to-text (STT), text-to-speech (TTS) and full speech-to-speech (STS) offerings. 200,000+ developers build with Deepgram’s voice-native foundational models – accessed through APIs or as self-managed software – due to our unmatched accuracy, latency and pricing. Customers include software companies building voice products, co-sell partners working with large enterprises, and enterprises solving..."
org-icarus,Icarus,startup,yc;startup;la,Researching,Los Angeles,https://www.icarus.one/,,yc_directory,https://www.ycombinator.com/companies/icarus,2026-04-09T16:47:19+00:00,2026-04-09T16:47:19+00:00,"batch=Fall 2025 | founded_year=2023 | team_size=16 | location=Los Angeles, CA | jobs_count=8 | tags=aerospace,hardware | description=Always-on intelligence and connectivity for Defense. Icarus builds autonomous, solar-powered aircraft that fly at 60,000 feet for weeks at a time, above the clouds harnessing the power of the Sun, but never too close. It’s the modern-day U-2 spy plane, except each costs $100K and is built by the thousands. The future of warfare is in the Stratosphere."
org-typeface,Typeface,startup,jobs;resume_generator;pre_apply,Pre-apply outreach,"Palo Alto, CA (Hybrid)",,,linkedin_job,https://www.linkedin.com/jobs/view/4372030492/,2026-04-16T22:35:44+00:00,2026-04-16T22:35:44+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-04-16
org-gen,Gen,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"New York, NY (On-site)",,,linkedin_job,https://www.linkedin.com/jobs/view/4389798968/,2026-04-16T22:35:44+00:00,2026-04-16T22:35:44+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-04-16
org-cisco,Cisco,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"San Francisco, CA (On-site)",,,linkedin_job,https://www.linkedin.com/jobs/view/4402670369/,2026-04-16T22:35:44+00:00,2026-04-16T22:35:44+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-04-16
